tempo,valor
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,26.69
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,23.55
02/02/2014,23.55
02/02/2014,21.98
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,23.55
02/02/2014,26.69
02/02/2014,21.98
02/02/2014,25.12
02/02/2014,21.98
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,23.55
02/02/2014,23.55
02/02/2014,21.98
02/02/2014,21.98
02/02/2014,23.55
02/02/2014,25.12
02/02/2014,21.98
02/02/2014,21.98
02/02/2014,21.98
02/02/2014,23.55
02/02/2014,23.55
02/02/2014,20.41
02/02/2014,20.41
02/02/2014,21.98
02/02/2014,21.98
02/02/2014,21.98
02/02/2014,23.55
02/02/2014,21.98
02/02/2014,21.98
02/02/2014,20.41
02/02/2014,23.55
02/02/2014,21.98
02/02/2014,26.69
02/02/2014,21.98
02/02/2014,25.12
02/02/2014,21.98
02/02/2014,21.98
02/02/2014,20.41
02/02/2014,21.98
02/02/2014,21.98
02/02/2014,20.41
02/02/2014,18.84
02/02/2014,23.55
02/02/2014,20.41
02/02/2014,20.41
02/02/2014,20.41
02/02/2014,20.41
02/02/2014,20.41
02/02/2014,21.98
02/02/2014,23.55
02/02/2014,21.98
02/02/2014,23.55
02/02/2014,21.98
02/02/2014,20.41
02/02/2014,21.98
02/02/2014,18.84
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,21.98
03/02/2014,23.55
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,23.55
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,23.55
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,23.55
03/02/2014,20.41
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,21.98
03/02/2014,23.55
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,21.98
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,21.98
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,23.55
03/02/2014,21.98
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,23.55
03/02/2014,23.55
03/02/2014,20.41
03/02/2014,21.98
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,23.55
03/02/2014,25.12
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,23.55
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,20.41
03/02/2014,18.84
03/02/2014,20.41
